epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,158.04,0.88785,0.69035,0.94746,0.74671,0.76144,0.80332,0.62139,0.87903,0.81986,0.9695,0.000665057,0.000665057,0.000665057
56,160.889,0.89783,0.69401,0.95037,0.77839,0.73692,0.80725,0.62939,0.87282,0.7872,0.95899,0.000650909,0.000650909,0.000650909
57,163.817,0.89152,0.68973,0.94954,0.71458,0.76511,0.80127,0.62033,0.87723,0.81932,0.96999,0.000636762,0.000636762,0.000636762
58,166.695,0.88577,0.69474,0.9493,0.75712,0.71352,0.7932,0.6235,0.85693,0.80709,0.96026,0.000622615,0.000622615,0.000622615
59,169.566,0.88549,0.6842,0.94444,0.80738,0.72937,0.8311,0.64619,0.88153,0.8701,0.97636,0.000608468,0.000608468,0.000608468
60,172.443,0.87041,0.66378,0.94417,0.80038,0.71779,0.8274,0.64687,0.86157,0.7822,0.97221,0.000594321,0.000594321,0.000594321
61,175.316,0.88151,0.66451,0.94347,0.76957,0.74788,0.80656,0.63488,0.86211,0.81494,0.97255,0.000580174,0.000580174,0.000580174
62,178.19,0.88726,0.66837,0.94483,0.74501,0.76188,0.79345,0.62158,0.87478,0.79437,0.96686,0.000566027,0.000566027,0.000566027
63,181.033,0.87579,0.66433,0.94539,0.783,0.77028,0.83085,0.65262,0.85627,0.76481,0.96582,0.00055188,0.00055188,0.00055188
64,183.908,0.85505,0.64187,0.9309,0.74047,0.78308,0.81607,0.64446,0.86078,0.76725,0.95888,0.000537733,0.000537733,0.000537733
65,186.842,0.85785,0.64497,0.93206,0.75825,0.76505,0.8027,0.63708,0.85421,0.77436,0.95887,0.000523586,0.000523586,0.000523586
66,189.849,0.87308,0.65099,0.93651,0.73269,0.76616,0.78565,0.61758,0.85997,0.78167,0.96017,0.000509438,0.000509438,0.000509438
67,192.813,0.85979,0.63238,0.93498,0.79594,0.75776,0.81815,0.65341,0.84992,0.74944,0.95945,0.000495291,0.000495291,0.000495291
